distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,29999,29999.0,29999,59998,1.0
1D,4,14999,14999.0,14999,59996,1.0
1D,8,7499,7499.0,7499,59992,1.0
1D,16,3749,3749.0,3749,59984,1.0
1D,32,1874,1874.0,1874,59968,1.0
1D,64,1562,1562.0,1562,99968,1.0
1D,128,936,936.0,936,119808,1.0
2D,2,15000,15000.0,15000,30000,1.0
2D,4,22500,22500.0,22500,90000,1.0
2D,8,13125,13125.0,13125,105000,1.0
2D,16,14062,14062.0,14062,224992,1.0
2D,32,7265,7265.0,7265,232480,1.0
2D,64,7382,7382.0,7382,472448,1.0
2D,128,3720,3720.0,3720,476160,1.0
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,15000,15000.0,15000,60000,1.0
2D_cyclic,8,7500,7500.0,7500,60000,1.0
2D_cyclic,16,11250,11250.0,11250,180000,1.0
2D_cyclic,32,5625,5625.0,5625,180000,1.0
2D_cyclic,64,6562,6562.0,6562,419968,1.0
2D_cyclic,128,3281,3281.0,3281,419968,1.0
