distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,611,611.0,611,1222,1.0
1D,4,915,915.0,915,3660,1.0
1D,8,1064,1064.0,1064,8512,1.0
1D,16,1039,1039.0,1039,16624,1.0
1D,32,576,576.0,576,18432,1.0
1D,64,448,448.0,448,28672,1.0
1D,128,205,205.0,205,26240,1.0
2D,2,0,0.0,0,0,0.0
2D,4,0,0.0,0,0,0.0
2D,8,0,0.0,0,0,0.0
2D,16,0,0.0,0,0,0.0
2D,32,0,0.0,0,0,0.0
2D,64,0,0.0,0,0,0.0
2D,128,0,0.0,0,0,0.0
2D_cyclic,2,306,306.0,306,612,1.0
2D_cyclic,4,306,306.0,306,1224,1.0
2D_cyclic,8,229,229.0,229,1832,1.0
2D_cyclic,16,229,229.0,229,3664,1.0
2D_cyclic,32,133,133.0,133,4256,1.0
2D_cyclic,64,133,133.0,133,8512,1.0
2D_cyclic,128,72,72.0,72,9216,1.0
